{'threshold': 2.226036865125046, 'roc_auc': 0.631788960201662, 'acc': 0.5335553264667512, 'precision': 0.5208313207065983, 'recall': 0.6485788132707334, 'f1-score': 0.39196015794087613, 'support': 186529.81196938318}
{'threshold': 2.101191002841057, 'roc_auc': 0.303544344915708, 'acc': 0.3206553967138934, 'precision': 0.4835342077559215, 'recall': 0.41569900537355625, 'f1-score': 0.2525846433380434, 'support': 186529.81196938318}
{'threshold': 1.29234713116736, 'roc_auc': 0.2211360917155571, 'acc': 0.459963690438178, 'precision': 0.47111121920285476, 'recall': 0.49561548987371695, 'f1-score': 0.294932638326315, 'support': 186529.81196938318}
{'threshold': 1.5249128751875782, 'roc_auc': 0.7520184290873652, 'acc': 0.6642460292118636, 'precision': 0.5363058912133177, 'recall': 0.7249635515527401, 'f1-score': 0.46791291266214347, 'support': 186529.81196938318}
{'threshold': 1.1522061537307708, 'roc_auc': 0.5855823225204012, 'acc': 0.5512010436718272, 'precision': 0.5144818809115947, 'recall': 0.5805052392700413, 'f1-score': 0.3970302861557401, 'support': 186529.81196938318}
{'threshold': 1.7083858054345007, 'roc_auc': 0.5565817323262428, 'acc': 0.6435696495853594, 'precision': 0.5140831849059808, 'recall': 0.5862662632823459, 'f1-score': 0.4355081453222511, 'support': 186529.81196938318}
{'threshold': 1.5354317686851038, 'roc_auc': 0.4042199780513057, 'acc': 0.31594792588470344, 'precision': 0.49681652405484245, 'recall': 0.4934534506098806, 'f1-score': 0.2564523871117595, 'support': 186529.81196938318}
{'threshold': 2.07881983730509, 'roc_auc': 0.5702346619066837, 'acc': 0.5255982410845429, 'precision': 0.513711936844318, 'recall': 0.5721784488726832, 'f1-score': 0.3844345017380004, 'support': 186529.81196938318}
{'threshold': 1.7057245463799797, 'roc_auc': 0.6000806996929647, 'acc': 0.5509310027095327, 'precision': 0.508687538250162, 'recall': 0.580251360485389, 'f1-score': 0.3914459082533188, 'support': 186529.81196938318}
{'threshold': 1.0782719112273016, 'roc_auc': 0.46156078199134504, 'acc': 0.3764206800288287, 'precision': 0.4378694462034163, 'recall': 0.5873386587165274, 'f1-score': 0.2843573256811062, 'support': 186529.81196938318}
{'threshold': 1.039875171518482, 'roc_auc': 0.23926677027355553, 'acc': 0.4656874640781659, 'precision': 0.3384526477400999, 'recall': 0.49570108496951065, 'f1-score': 0.2889518979871959, 'support': 186529.81196938318}
{'threshold': 1.4414060769360355, 'roc_auc': 0.48608001461551326, 'acc': 0.44646346692454364, 'precision': 0.4999677717337211, 'recall': 0.5251413320781583, 'f1-score': 0.3299087794395062, 'support': 186529.81196938318}
