{'threshold': 0.7669476680773321, 'roc_auc': 0.31538343766125826, 'acc': 0.25977575652522966, 'precision': 0.415591543979182, 'recall': 0.4885222370578541, 'f1-score': 0.20379840524898665, 'support': 186529.81196938318}
{'threshold': 0.8454607197086074, 'roc_auc': 0.39861732623071094, 'acc': 0.6315692481731181, 'precision': 0.49562041969245135, 'recall': 0.50935394730125, 'f1-score': 0.4045312337767107, 'support': 186529.81196938318}
{'threshold': 0.8306277105900113, 'roc_auc': 0.40983796529377203, 'acc': 0.6003776924269931, 'precision': 0.49655162248377827, 'recall': 0.5017485386092937, 'f1-score': 0.39625625166443507, 'support': 186529.81196938318}
{'threshold': 0.8263899699688049, 'roc_auc': 0.4420109156238291, 'acc': 0.5235419156486913, 'precision': 0.4957614251766875, 'recall': 0.48892408520170005, 'f1-score': 0.3687232821005611, 'support': 186529.81196938318}
{'threshold': 0.7951786692041366, 'roc_auc': 0.3329638400380813, 'acc': 0.2767992847563701, 'precision': 0.46220155458877055, 'recall': 0.4615210264127223, 'f1-score': 0.21669584799300656, 'support': 186529.81196938318}
{'threshold': 0.8658612139829921, 'roc_auc': 0.32547159910022716, 'acc': 0.6129856860043973, 'precision': 0.4922915655322978, 'recall': 0.49450538551791173, 'f1-score': 0.37902836079708024, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.292683119206804, 'acc': 0.5849707607674273, 'precision': 0.4911455828627769, 'recall': 0.49590345332983843, 'f1-score': 0.3576937745321742, 'support': 186529.81196938318}
{'threshold': 0.7398664499674893, 'roc_auc': 0.303565159871038, 'acc': 0.28156149361845767, 'precision': 0.3349690600724233, 'recall': 0.5005446591956856, 'f1-score': 0.2143961653164627, 'support': 186529.81196938318}
{'threshold': 0.7986090604879366, 'roc_auc': 0.5089061092976721, 'acc': 0.49374253053926087, 'precision': 0.5116439083070735, 'recall': 0.5752582869330916, 'f1-score': 0.3641159258853652, 'support': 186529.81196938318}
{'threshold': 0.852010898246075, 'roc_auc': 0.3825729167940215, 'acc': 0.6198078695045296, 'precision': 0.4954285504140703, 'recall': 0.49800552304050105, 'f1-score': 0.4026131759429932, 'support': 186529.81196938318}
{'threshold': 0.8626649777383085, 'roc_auc': 0.40063978387377036, 'acc': 0.6732376634158357, 'precision': 0.49844205223930743, 'recall': 0.5341847448800361, 'f1-score': 0.4215831818508228, 'support': 186529.81196938318}
{'threshold': 0.7871012314557692, 'roc_auc': 0.48895472431050596, 'acc': 0.45402278926769635, 'precision': 0.5007768852826001, 'recall': 0.5332265346702356, 'f1-score': 0.3324952057206855, 'support': 186529.81196938318}
{'threshold': 0.8034602986600742, 'roc_auc': 0.6452339289825987, 'acc': 0.5336392581171941, 'precision': 0.524523333876428, 'recall': 0.6592644287253948, 'f1-score': 0.3930231115813258, 'support': 186529.81196938318}
{'threshold': 0.7711534444616934, 'roc_auc': 0.3434547900298851, 'acc': 0.33154279145721766, 'precision': 0.334043741760853, 'recall': 0.52233357971982, 'f1-score': 0.24136843644406256, 'support': 186529.81196938318}
{'threshold': 0.7495401913544429, 'roc_auc': 0.35126867554540564, 'acc': 0.35717661226314396, 'precision': 0.33113645833457084, 'recall': 0.5211329616634194, 'f1-score': 0.25260513966073506, 'support': 186529.81196938318}
{'threshold': inf, 'roc_auc': 0.28571125399135294, 'acc': 0.592692472608176, 'precision': 0.49085549837795944, 'recall': 0.492134888951744, 'f1-score': 0.36357488026036955, 'support': 186529.81196938318}
{'threshold': 0.8159215935293677, 'roc_auc': 0.246035851714225, 'acc': 0.3049747748898397, 'precision': 0.33678827381919746, 'recall': 0.49816403942320425, 'f1-score': 0.21340484374529065, 'support': 186529.81196938318}
{'threshold': 0.8274324576209333, 'roc_auc': 0.43968247152192835, 'acc': 0.6081723883116054, 'precision': 0.49715946241734094, 'recall': 0.5059413594875501, 'f1-score': 0.4014884100709771, 'support': 186529.81196938318}
{'threshold': 0.8160547317795415, 'roc_auc': 0.435166275077236, 'acc': 0.39537646082125294, 'precision': 0.4989131714518376, 'recall': 0.49614489003075596, 'f1-score': 0.30695255076436095, 'support': 186529.81196938318}
{'threshold': 0.854282219852596, 'roc_auc': 0.3552601368695758, 'acc': 0.6223823816518114, 'precision': 0.49302238207388616, 'recall': 0.49720121878506257, 'f1-score': 0.3934046378759444, 'support': 186529.81196938318}
{'threshold': 0.8241014071272931, 'roc_auc': 0.3072165658688734, 'acc': 0.35844471002527073, 'precision': 0.3687347089952527, 'recall': 0.4877888396098826, 'f1-score': 0.24671518608699047, 'support': 186529.81196938318}
